expense_type,currency,total,country_id
Daily Cost,EC$,761.96,1
Accommodation,EC$,486.02,1
Food,EC$,179.1,1
Local Transportation,EC$,50.57,1
Entertainment,EC$,235.97,1
Intercity Transportation,EC$,125.67,1
Alcohol,EC$,50.64,1
Taxi From Airport,EC$,18.9,1
Taxi From Airport,EC$,94.5,1
Entrance to the Museum of Antigua & Barbu,EC$,8.1,1
Admission to Nelson's Dockyard National ,EC$,13.5,1
2 Hour Snorkeling Trip,EC$,108,1
Windsurfing Equipment Rental for 1 Hr,EC$,135,1
Two Tank Dive,EC$,216,1
90 Minute Rainforest Canopy Tour,EC$,216,1
Local Bus,EC$,4.1,1
Local Bus,EC$,4.1,1
Catamaran Island Tour,EC$,324,1
Catamaran Island Tour,EC$,324,1
Daily Cost,AR$,372.92,2
Accommodation,AR$,203.86,2
Food,AR$,89.49,2
Water,AR$,9.2,2
Local Transportation,AR$,33.48,2
Entertainment,AR$,117.28,2
Communication,AR$,13.63,2
Tips and Handouts,AR$,14.39,2
Intercity Transportation,AR$,178.33,2
Souvenirs,AR$,68.91,2
"Scams, Robberies, and Mishaps",AR$,21.41,2
Alcohol,AR$,26.94,2
Lunch for 2,AR$,142,2
Hostel San Telmo for 2,AR$,238.23,2
Museo for 2,AR$,50,2
Taxi Ride,AR$,5,2
Sandwich,AR$,10,2
Internet,AR$,1,2
Sandwich,AR$,5,2
Fruit,AR$,8,2
Burger,AR$,10,2
Ice Cream,AR$,6,2
1 Liter Water,AR$,3,2
Gondola Ride,AR$,15,2
Daily Cost,À,465.75,3
Accommodation,À,297.79,3
Food,À,97.98,3
Water,À,5.56,3
Local Transportation,À,46.19,3
Entertainment,À,137.92,3
Communication,À,20.2,3
Intercity Transportation,À,48.3,3
Alcohol,À,39.63,3
1 Day Wireless Internet,À,17.8,3
Round-trip Bus Ticket,À,4,3
Round-trip Bus Ticket,À,4,3
Round-trip Bus Ticket,À,4,3
One Day Scooter Rental,À,71.2,3
One Day Scooter Rental,À,71.2,3
4 Hr Snorkel Trip,À,133.5,3
4 Hr Snorkel Trip,À,133.5,3
Full Day Bike Rental,À,44.75,3
Full Day Bike Rental,À,44.75,3
Full Day Bike Rental,À,44.75,3
Horseback Riding Tour,À,125.3,3
Daily Cost,AU$,232.32,4
Accommodation,AU$,126.1,4
Food,AU$,41.81,4
Water,AU$,3.79,4
Local Transportation,AU$,41.17,4
Entertainment,AU$,50.86,4
Communication,AU$,17.11,4
Tips and Handouts,AU$,109.14,4
Intercity Transportation,AU$,108.22,4
Souvenirs,AU$,65.72,4
"Scams, Robberies, and Mishaps",AU$,76.92,4
Alcohol,AU$,13.48,4
Pizza,AU$,7,4
Bottle of Wine,AU$,7.75,4
Tram Ride,AU$,3.8,4
Dinner at Olivo (for 2),AU$,90,4
Surfing Museum (for 2),AU$,11,4
Sunset Cruise (for 2),AU$,20,4
Surf Lesson,AU$,65,4
Surf Lesson,AU$,120,4
Sea Kayak Tour (for 2),AU$,130,4
Buddha Gardens Spa (for 2),AU$,190,4
Sydney Tower Visit (for 2),AU$,46.15,4
Blue Mountain Tour/Featherdale Park (for 2),AU$,190.38,4
Daily Cost,€,98.03,5
Accommodation,€,53.4,5
Food,€,24.66,5
Water,€,2.62,5
Local Transportation,€,15.63,5
Entertainment,€,15.26,5
Communication,€,3.15,5
Tips and Handouts,€,1.55,5
Intercity Transportation,€,44.86,5
Souvenirs,€,14.24,5
"Scams, Robberies, and Mishaps",€,2.5,5
Alcohol,€,11.73,5
Soup for Lunch,€,3.75,5
Pasta Lunch,€,8.2,5
Botanical Garden Entrance Fee,€,2,5
Schloss Ambras Entrance,€,8,5
Laundry,€,3.5,5
Pizza Supper (for 2),€,15.7,5
Tea,€,2,5
Coffee,€,2,5
Postcards & Postage,€,4.9,5
Ice Cream,€,2.6,5
Coffee at Train Station,€,4,5
Chocolate,€,1.7,5
Daily Cost,BS$,121.84,6
Accommodation,BS$,63.29,6
Food,BS$,38.24,6
Local Transportation,BS$,20.41,6
Entertainment,BS$,18.44,6
Tips and Handouts,BS$,12.51,6
Intercity Transportation,BS$,35.94,6
Souvenirs,BS$,2.95,6
Alcohol,BS$,12.24,6
Taxi from Airport,BS$,30,6
4 Hr Kayak Tour,BS$,70,6
4 Hr. Kayak Tour,BS$,70,6
1/2 Day Snorkel Trip,BS$,75,6
1/2 Day Snorkel Trip,BS$,75,6
10 Dive Package,BS$,299,6
Water Taxi,BS$,8,6
Taxi to Cable Beach,BS$,25,6
Cocktail,BS$,6.5,6
Jet Ski,BS$,50,6
Parasailing for Three People,BS$,240,6
Daily Cost,BHD,48.34,7
Accommodation,BHD,20,7
Food,BHD,16.92,7
Water,BHD,0.85,7
Local Transportation,BHD,9.14,7
Entertainment,BHD,10.29,7
Intercity Transportation,BHD,34.29,7
Alcohol,BHD,3.43,7
Daily Cost,BDT,4540.12,8
Accommodation,BDT,2685.78,8
Food,BDT,1142.89,8
Local Transportation,BDT,571.44,8
Entertainment,BDT,1428.61,8
Intercity Transportation,BDT,685.73,8
Alcohol,BDT,891.45,8
Daily Cost,B$,606.73,9
Accommodation,B$,378.94,9
Food,B$,153.87,9
Local Transportation,B$,49.41,9
Entertainment,B$,171.06,9
Intercity Transportation,B$,64.53,9
Alcohol,B$,42.16,9
Minibus Ride,B$,1.5,9
Taxi From Airport,B$,36,9
Taxi From Airport,B$,36,9
Taxi From Airport,B$,76,9
1/2 Day Windsurfing Equipment Rental,B$,120,9
1/2 Day Windsurfing Equipment Rental,B$,120,9
1/2 Hr Helicopter Tour,B$,350,9
Turtle & Shipwreck Tour,B$,79.6,9
Daily Cost,€,106.53,10
Accommodation,€,50.86,10
Food,€,32.68,10
Water,€,2.77,10
Local Transportation,€,13.35,10
Entertainment,€,9.37,10
Communication,€,75.01,10
Tips and Handouts,€,7.08,10
Intercity Transportation,€,22.04,10
Souvenirs,€,9.02,10
Alcohol,€,10.56,10
Atomium train ticket (2),€,8,10
Waffle,€,3,10
Beer,€,6,10
2 Souvenir T-shirts,€,10.95,10
Dessert (Turkish Delights),€,4.75,10
Cheese,€,5.6,10
Olives and Snacks,€,6.98,10
Bottle of Wine,€,10,10
Soda,€,1.15,10
Car Rental for a Day,€,26.64,10
Subway Pass,€,4.5,10
Bike Rental for Day,€,8,10
Daily Cost,BZ$,95.3,11
Accommodation,BZ$,35.48,11
Food,BZ$,35.79,11
Water,BZ$,3,11
Local Transportation,BZ$,7.57,11
Entertainment,BZ$,55.13,11
Tips and Handouts,BZ$,6.63,11
Intercity Transportation,BZ$,18.58,11
Souvenirs,BZ$,6.14,11
Alcohol,BZ$,20.1,11
Daily Cost,BM$,164.39,12
Accommodation,BM$,41.88,12
Food,BM$,77.62,12
Local Transportation,BM$,45.13,12
Entertainment,BM$,43.61,12
Daily Cost,$b,192.83,13
Accommodation,$b,62.39,13
Food,$b,66.66,13
Water,$b,8.76,13
Local Transportation,$b,14.91,13
Entertainment,$b,97.74,13
Communication,$b,69.19,13
Tips and Handouts,$b,22.52,13
Intercity Transportation,$b,103.82,13
Souvenirs,$b,26.87,13
"Scams, Robberies, and Mishaps",$b,53.37,13
Alcohol,$b,30.15,13
Cappucino,$b,17,13
Cappuccino ,$b,30,13
Hostel for 2,$b,70,13
Museo Tessile (2),$b,44,13
Public Toilet Fee,$b,1,13
Taxi Ride,$b,10,13
Empanada,$b,1.5,13
Cookie,$b,3,13
Popcorn,$b,4,13
Pizza,$b,53,13
Juice,$b,7,13
Toilet Fee,$b,2,13
Daily Cost,KM,107.18,14
Accommodation,KM,46.28,14
Food,KM,41.49,14
Water,KM,6.37,14
Local Transportation,KM,11.56,14
Entertainment,KM,13.14,14
Tips and Handouts,KM,1.34,14
Intercity Transportation,KM,31.41,14
Souvenirs,KM,14.43,14
Alcohol,KM,6.15,14
Tram Tickets (for 2),KM,3,14
National Museum (for 2),KM,14,14
Restaurant Dinner (for 2),KM,8,14
Taxi To & From Blagaj (hiking),KM,40,14
Restaurant Dinner (for 2),KM,22,14
A Few Drinks (for 2),KM,12,14
A Casual Dinner Out (for 2),KM,28,14
Daily Cost,P,662.56,15
Accommodation,P,322.55,15
Food,P,176.83,15
Water,P,12.92,15
Local Transportation,P,50.75,15
Entertainment,P,371.44,15
Intercity Transportation,P,314.29,15
Alcohol,P,77.81,15
Daily Cost,R$,201.82,16
Accommodation,R$,113.53,16
Food,R$,45.16,16
Water,R$,5.27,16
Local Transportation,R$,20.44,16
Entertainment,R$,23.48,16
Communication,R$,10.19,16
Tips and Handouts,R$,1.38,16
Intercity Transportation,R$,78.76,16
Souvenirs,R$,43.07,16
"Scams, Robberies, and Mishaps",R$,30.13,16
Alcohol,R$,13.2,16
Dinner for 2,R$,7,16
Drinks,R$,14,16
Sarong,R$,16,16
Bus from Airport,R$,6,16
Beers for 2,R$,7,16
Hot Dog,R$,4,16
Beer,R$,4,16
Ferry Ride,R$,13,16
Taxi Ride,R$,10,16
Espresso,R$,2.5,16
Beer,R$,2.25,16
Beer,R$,5,16
Daily Cost,$,264.32,17
Accommodation,$,175.83,17
Food,$,57.37,17
Local Transportation,$,23.12,17
Entertainment,$,63.25,17
Intercity Transportation,$,37.41,17
Alcohol,$,19.76,17
Ferry From Road Town to Virgin Gorda,$,20,17
Taxi From Airport,$,30,17
Island Tour (per person),$,45,17
2.5 Hr Taxi Tour,$,75,17
1 Hr Horseback Ride in Sage Mt. Nat'l Pk,$,100,17
1 Hr Horseback Ride in Sage Mt. Nat'l Pk,$,100,17
Daily Cost,BGN,87.26,18
Accommodation,BGN,49.5,18
Food,BGN,22.26,18
Water,BGN,1.82,18
Local Transportation,BGN,13.6,18
Entertainment,BGN,11.77,18
Tips and Handouts,BGN,6.2,18
Intercity Transportation,BGN,32.64,18
Souvenirs,BGN,1.91,18
"Scams, Robberies, and Mishaps",BGN,10,18
Alcohol,BGN,10.62,18
Daily Cost,CFA,14869.67,19
Accommodation,CFA,6410,19
Food,CFA,3292.31,19
Water,CFA,1702.42,19
Local Transportation,CFA,5369.15,19
Tips and Handouts,CFA,418.75,19
Intercity Transportation,CFA,1600.39,19
Alcohol,CFA,800,19
Daily Cost,៛,129718.01,20
Accommodation,៛,41981.42,20
Food,៛,45767.75,20
Water,៛,5138.7,20
Local Transportation,៛,17672.72,20
Entertainment,៛,39695.89,20
Communication,៛,22441.93,20
Tips and Handouts,៛,7859.06,20
Intercity Transportation,៛,38132.97,20
Souvenirs,៛,44324.07,20
"Scams, Robberies, and Mishaps",៛,8976.55,20
Alcohol,៛,7746.31,20
Bike Rentals,៛,7800,20
Breakfast for Two,៛,19500,20
Massage,៛,39000,20
Tuk Tuk Ride,៛,53950,20
Breakfast for Two,៛,22550,20
Dinner for Two,៛,41000,20
Angkor Tour Guide,៛,33232,20
Daily Cost,CA$,134.35,21
Accommodation,CA$,63.62,21
Food,CA$,32.14,21
Water,CA$,2.8,21
Local Transportation,CA$,23.01,21
Entertainment,CA$,20.11,21
Communication,CA$,14.81,21
Tips and Handouts,CA$,4.22,21
Intercity Transportation,CA$,119.94,21
Souvenirs,CA$,24.25,21
"Scams, Robberies, and Mishaps",CA$,2.51,21
Alcohol,CA$,17.98,21
Parking in Quebec City,CA$,5,21
Tim Hortons breakfast and coffee,CA$,12.35,21
Toll Bridge (round trip),CA$,45,21
Grand Banker Lunch for 2,CA$,46.6,21
Bluenose II Restaurant,CA$,61.39,21
Train: 2 Day Passes,CA$,22,21
Bata Shoe Museum (2),CA$,10,21
Coffee at Timmy's,CA$,5,21
Tim Hortons Breakfast,CA$,16,21
Coffee at Starbucks,CA$,16,21
Driving Range,CA$,20,21
Zipline,CA$,230,21
Daily Cost,CI$,216.24,22
Accommodation,CI$,151.83,22
Food,CI$,40.29,22
Local Transportation,CI$,20,22
Entertainment,CI$,41.99,22
Intercity Transportation,CI$,36.22,22
Alcohol,CI$,14.71,22
All You Can Eat BBQ,CI$,15,22
Pedro St. James Castle Entrance Fee,CI$,8.2,22
"""Discover the East"" Adventure Card",CI$,13.11,22
Ticket to the Theater,CI$,34,22
Ticket to the Theater,CI$,34,22
Bus Ride,CI$,2.07,22
Taxi From Airport,CI$,20.66,22
Sunset Cruise,CI$,33.06,22
Glass Bottom Boat Tour,CI$,37.19,22
Snorkeling at Stingray City,CI$,61.98,22
Rental Car,CI$,41.32,22
Beer,CI$,4.13,22
Daily Cost,CL$,43977.67,23
Accommodation,CL$,27308.04,23
Food,CL$,8823.26,23
Water,CL$,1031.13,23
Local Transportation,CL$,3565.64,23
Entertainment,CL$,10851.43,23
Communication,CL$,1458.71,23
Tips and Handouts,CL$,659.58,23
Intercity Transportation,CL$,17144.74,23
Souvenirs,CL$,5782.39,23
Alcohol,CL$,3470.24,23
Bike Rental,CL$,8000,23
Hamburger,CL$,2390,23
Internet,CL$,1200,23
Short Taxi Ride,CL$,2000,23
Empanadas,CL$,1200,23
Juice & Coffee,CL$,3200,23
Empanada,CL$,1800,23
Metro Ride,CL$,1080,23
Laundry,CL$,2100,23
Empanada,CL$,1800,23
Boat Tour,CL$,4000,23
Taxi Ride,CL$,3000,23
Daily Cost,¥,561.81,24
Accommodation,¥,367.87,24
Food,¥,94.1,24
Water,¥,5.82,24
Local Transportation,¥,21.66,24
Entertainment,¥,97.85,24
Communication,¥,66.84,24
Tips and Handouts,¥,33.76,24
Intercity Transportation,¥,254.9,24
Souvenirs,¥,237.75,24
"Scams, Robberies, and Mishaps",¥,85.2,24
Alcohol,¥,36.98,24
Metro,¥,4,24
Audio Guides at Forbidden City,¥,80,24
Forbidden City Tickets,¥,120,24
Toilet Paper,¥,2,24
Local Bus,¥,2,24
Fanta,¥,3,24
Beer,¥,7,24
Forbidden City (for 2),¥,120,24
Traditional Chinese Candy,¥,13,24
2 Metro Passes,¥,16,24
Bus to Border (for 2),¥,40,24
Two Popsicles,¥,6,24
Daily Cost,CO$,73764.9,25
Accommodation,CO$,30923.87,25
Food,CO$,22194.35,25
Water,CO$,2965.57,25
Local Transportation,CO$,8706.52,25
Entertainment,CO$,20473.13,25
Communication,CO$,12497.74,25
Tips and Handouts,CO$,2862.31,25
Intercity Transportation,CO$,32958.31,25
Souvenirs,CO$,19807.43,25
"Scams, Robberies, and Mishaps",CO$,150000,25
Alcohol,CO$,10683.77,25
Taxi,CO$,6300,25
Lunch,CO$,8000,25
Gas,CO$,20000,25
Beer,CO$,9000,25
Breakfast,CO$,12000,25
Beer,CO$,2200,25
2 Bus Passes,CO$,3400,25
Short Taxi Ride,CO$,4600,25
Hot Dog,CO$,3500,25
Hamburger,CO$,6500,25
Coffee,CO$,1200,25
Coffee,CO$,1800,25
Daily Cost,₡,38158.29,26
Accommodation,₡,20680.16,26
Food,₡,8953.12,26
Water,₡,1158.25,26
Local Transportation,₡,4071.88,26
Entertainment,₡,13464.16,26
Communication,₡,10137.6,26
Tips and Handouts,₡,777.65,26
Intercity Transportation,₡,7151.93,26
Souvenirs,₡,13376.49,26
Alcohol,₡,4555.52,26
Dinner at Finca Exotica,₡,27276,26
Pizza,₡,1850,26
Lunch,₡,4000,26
Bike Rental,₡,2487.95,26
Pasta Dinner (for 1),₡,7947.36,26
Souvenir Skirt,₡,5235,26
Souvenir Purse,₡,15330,26
Smoothie,₡,1500,26
Lunch,₡,6989.78,26
Yoga,₡,6230.89,26
Fruit Plate,₡,1500,26
Breakfast Taco Bar,₡,1695,26
Daily Cost,kn,487.7,27
Accommodation,kn,277.79,27
Food,kn,130.89,27
Water,kn,7,27
Local Transportation,kn,53.31,27
Entertainment,kn,54.77,27
Communication,kn,25,27
Tips and Handouts,kn,5,27
Intercity Transportation,kn,130.67,27
Souvenirs,kn,16.2,27
Alcohol,kn,43.35,27
Seafood Dinner (for 2),kn,218,27
Boat to Lokrum Island (for 2),kn,100,27
Cable Car Ride (for 2),kn,200,27
City Wall Tour (for 2),kn,130.8,27
Bus Around Town,kn,10.75,27
Daily Cost,₱,44.84,28
Accommodation,₱,24.62,28
Food,₱,7.24,28
Water,₱,1.24,28
Local Transportation,₱,6.25,28
Entertainment,₱,26.59,28
Communication,₱,1.5,28
Tips and Handouts,₱,1.15,28
Intercity Transportation,₱,12.67,28
Souvenirs,₱,6.24,28
Alcohol,₱,8.15,28
Short Taxi Ride,₱,18,28
Pizza,₱,0.88,28
Bathroom Fee,₱,0.04,28
Mojito,₱,4,28
Daily Cost,ANG,477.83,29
Accommodation,ANG,330.99,29
Food,ANG,91.12,29
Local Transportation,ANG,35.13,29
Entertainment,ANG,130.82,29
Intercity Transportation,ANG,54.56,29
Alcohol,ANG,35.29,29
Jewish Cultural Historical Museum Entrance Fe,ANG,10.56,29
1 Hour Trolley Tour,ANG,44,29
1/2 Day ATV Excursion,ANG,158.4,29
Daily Cost,€,77,30
Accommodation,€,37.35,30
Food,€,29.63,30
Local Transportation,€,6.34,30
Entertainment,€,9.56,30
Communication,€,16.75,30
Intercity Transportation,€,15.84,30
Alcohol,€,7.98,30
Daily Cost,Kč,1899.48,31
Accommodation,Kč,1138.7,31
Food,Kč,484.13,31
Water,Kč,73.87,31
Local Transportation,Kč,143.77,31
Entertainment,Kč,278.43,31
Tips and Handouts,Kč,67.54,31
Intercity Transportation,Kč,431.41,31
Souvenirs,Kč,397.87,31
"Scams, Robberies, and Mishaps",Kč,200,31
Alcohol,Kč,193.86,31
Two Tickets for Charles Bridge Tower,Kč,140,31
Image Theatre for Two,Kč,960,31
Charles Bridge Tower Souvenir,Kč,50,31
Cookies,Kč,7.9,31
Bananas,Kč,14.1,31
Opera Tickets,Kč,100,31
A Bottle of Wine,Kč,159,31
Fruit,Kč,100,31
Lunch for One,Kč,300,31
Daily Cost,EC$,440.82,32
Accommodation,EC$,291.83,32
Food,EC$,102.62,32
Local Transportation,EC$,32.68,32
Entertainment,EC$,81.25,32
Intercity Transportation,EC$,97.15,32
Souvenirs,EC$,13.5,32
"Scams, Robberies, and Mishaps",EC$,0.5,32
Alcohol,EC$,37.03,32
Tour of Carib Indian Territory,EC$,25.92,32
1/2 Day Kayak Rental,EC$,94.5,32
Half Day Taxi Tour of Island,EC$,270,32
Daily Cost,RD$,6252.64,33
Accommodation,RD$,3980.55,33
Food,RD$,1723.51,33
Local Transportation,RD$,286.69,33
Entertainment,RD$,1322.99,33
Intercity Transportation,RD$,744.81,33
Alcohol,RD$,470.13,33
Banana Boat Ride,RD$,370,33
1 Hr Kayak Rental,RD$,740,33
Water Skiing,RD$,1110,33
Full Day Snorkeling Trip,RD$,1665,33
1 Hr Horseback Ride,RD$,1887,33
1 Hr Tennis Lesson,RD$,2553,33
Paragliding,RD$,3145,33
Snorkeling Tour,RD$,2590,33
Snorkeling Tour,RD$,2590,33
Snorkeling Tour,RD$,2590,33
Snorkeling Tour,RD$,2590,33
Snorkeling Tour,RD$,2590,33
Daily Cost,$,34.1,34
Accommodation,$,12.57,34
Food,$,11.93,34
Water,$,1.17,34
Local Transportation,$,2.53,34
Entertainment,$,9.92,34
Communication,$,17.94,34
Tips and Handouts,$,16.69,34
Intercity Transportation,$,7.01,34
Souvenirs,$,7.96,34
"Scams, Robberies, and Mishaps",$,2.15,34
Alcohol,$,4.34,34
Coffee,$,2.5,34
Hot Dog,$,1,34
Empanada,$,1.5,34
Ice Cream,$,1,34
Internet,$,4,34
Taxi Ride,$,2,34
Coke,$,1,34
Snacks,$,2,34
A Quick Snack,$,2.1,34
Snacks,$,4.1,34
Snacks,$,5,34
Coffee Beans,$,5.25,34
Daily Cost,EG£,356.05,35
Accommodation,EG£,187.64,35
Food,EG£,88.68,35
Water,EG£,3.47,35
Local Transportation,EG£,54.58,35
Entertainment,EG£,111.61,35
Tips and Handouts,EG£,21.04,35
Intercity Transportation,EG£,165.09,35
Souvenirs,EG£,253.17,35
"Scams, Robberies, and Mishaps",EG£,33.91,35
Alcohol,EG£,38.54,35
Egyptian Museum Entry for Two,EG£,308,35
Metro Ride,EG£,4,35
Taxi to Train Station,EG£,4,35
Taxi Ride,EG£,15,35
Taxi Ride,EG£,20,35
Juice,EG£,2,35
Juice,EG£,5,35
Breakfast for Two,EG£,30,35
Seafood Dinner (for 2),EG£,95,35
Bottle of Water,EG£,2,35
1.5 Liter Water,EG£,4,35
1 Liter Water,EG£,5,35
Daily Cost,€,51.06,36
Accommodation,€,25.25,36
Food,€,13.79,36
Water,€,2.66,36
Local Transportation,€,9.56,36
Entertainment,€,4.21,36
Communication,€,3,36
Tips and Handouts,€,1.47,36
Intercity Transportation,€,17.15,36
Souvenirs,€,9.98,36
Alcohol,€,7.36,36
Cookies,€,0.51,36
Ice Cream,€,1.27,36
Coffee & Cake,€,3.47,36
Art Museum ticket,€,0.95,36
Movie Ticket,€,3.47,36
2 Postcards,€,0.69,36
Tram Around Town for Two,€,1.66,36
Rental Car and Gas for a Day,€,34.37,36
Danishes,€,0.76,36
Dessert,€,1.15,36
Salmon,€,1.28,36
Lunch for Two,€,4.93,36
Daily Cost,ETB,321.62,37
Accommodation,ETB,137.32,37
Food,ETB,94.27,37
Water,ETB,13.46,37
Local Transportation,ETB,31.96,37
Entertainment,ETB,95.51,37
Tips and Handouts,ETB,8.15,37
Intercity Transportation,ETB,342.81,37
Souvenirs,ETB,185.67,37
"Scams, Robberies, and Mishaps",ETB,15,37
Alcohol,ETB,86.7,37
Short Taxi Ride,ETB,5,37
Tuk Tuk Ride,ETB,20,37
